id,author,author_channel_id,comment,likes,published_at,parent_id,video_title
Ugw0TExWO74rLrDUG5R4AaABAg,@MrBeast,UCX6OQ3DkcsbYNE6H8uQQuVA,Go watch the rest FOR FREE on Prime Video right now! http://linktr.ee/beastgames,4658,2026-01-09T16:57:09Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgxS3Lii6bfoXd_yKMZ4AaABAg,@onlineErinTV,UCTBT3I3EcXpuOzAPqPu_HaQ,IS THAT MICHEL,0,2026-08-07T23:47:48Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgypxnelA__DKHJ-k194AaABAg,@MilaEdmiston,UCSyM3O7wkI3J9T4UTH8kCXg,I love how Michelle is there HUMAN CALCULATOR,1,2026-08-07T16:51:47Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgwElxRIyNZroY0flKB4AaABAg,@JosephineK-b5l,UCORQ_vrkzpyHFRQ4K2j2kDQ,Hlo I want to join your challenges,0,2026-08-07T01:47:56Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgxvYcbstOds__ou6jN4AaABAg,@rafiyakhatun8856,UCoPCfN1NY4SZ1fgheHriwgQ,Mr beast Samadhi ke phone Laga De,0,2026-08-06T04:34:22Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
Ugxwzsv1UodXwcM929F4AaABAg,@AlphaPhysique-j3v,UCvUYjmiQVva5wTVYqHlm3vA,😍🥰4 years old subscriber,0,2026-08-05T15:56:14Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgyzECHDtOb7AqCo8zN4AaABAg,@babyRudh-kp,UCBfgSvaSg3rJ61pAkkcjdLQ,"The day my channel gets monetized, I’ll also help others just like he does",0,2026-08-04T14:54:37Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgzyTHN5YsZHPCQaKj54AaABAg,@sdreslerrony7360,UCdkoNoayvNdIlDyJn63K_Lg,"MrBeast 20000 dolar i need,,plzz count me, i hope you chose me as soon as possible,,😥😥😥 i belive that (HOPE NEVER DIES)",0,2026-08-01T12:12:53Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgxV34uQ50LlQH4ysAR4AaABAg,@Elaine.W.G,UCoLy4Fwf2KkuaQ_2xhiBvnQ,2:07 i hope she wins😢,0,2026-07-31T12:31:04Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
UgybNeBlgqNBkkxat6F4AaABAg,@SardaMalaco,UCArJudjqnzTzJgXhdjm4qlw,mr. beast is so rich because he had over 555million subcriber,0,2026-07-30T13:38:37Z,,"100 Strongest Vs 100 Smartest Compete for $5,000,000"
