id,author,author_channel_id,comment,likes,published_at,parent_id,video_title
Ugw5LIRRVFPNpAVrct54AaABAg,@ndeyesokhnakane7466,UCcbfcB6QVJzrg4TK-5nRe3Q,",",1,2026-08-09T09:54:05Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugy1E_XVlG5vJo-2uzx4AaABAg,@ndeyesokhnakane7466,UCcbfcB6QVJzrg4TK-5nRe3Q,t4t4t4,1,2026-08-09T09:52:13Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgzyqOfWIAbNfdO0hEN4AaABAg,@ndeyesokhnakane7466,UCcbfcB6QVJzrg4TK-5nRe3Q,"t
t
t
t

t



t",1,2026-08-09T09:50:49Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugydh0H0EMMibc8SUSB4AaABAg,@Livyeditsanything,UCmu-Nqp9OLYVrnRq4QGzdsw,Look at Mr beast is making everyone do parkour and get money,0,2026-08-09T03:10:02Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxQo4Gs314rZxc9AV54AaABAg,@mialashanaee7147,UC_et3FyOrD3ba5l11-mVM3A,Which one of yall subscribers got the money?,0,2026-08-08T02:36:35Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgypHGXAJwAtgl6aMe94AaABAg,@GlobalExportFactory999,UCRw7SxhqQHnN20UBGR-0vWg,Amazing creator who never disappoints. 🎨💖,0,2026-08-07T10:16:43Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgyMJ4p1TecQTK-Enid4AaABAg,@ARACELIDEJESUSRAMIREZ-b1b,UCYqoOvmz3-QAoxQE16lz2QA,"😮 MrBeast, where you said a bad word",0,2026-08-07T04:53:31Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgxSAB_EHF9nvNjd__t4AaABAg,@nothim-f4k,UCnXvV5lv6T-8uBWAix8LHVA,15:35 mrBeast said a cuss word,0,2026-08-07T01:13:22Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgyFvh2HiTCwslmiJ1x4AaABAg,@JJPLAY_844,UC3MQn_BzVfiqECbK42LmoVw,15:35 AND YOH CANT CATCH FOR SHIT,0,2026-08-07T00:47:00Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgzCNJvIpH6RxcR8WMp4AaABAg,@MRE-girl,UCyXNwFu-x7x90b6ljnOHeZw,Love Love Love watching your vids from the office at MRE STAR!,0,2026-07-30T15:14:56Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugwpb4_4Dba4-97aoKl4AaABAg,@Juanofone.1,UCc371qWwUKKifZXv2e4OV2g,Love this! Mr beast a w man😂🤞🏼🐐,1,2026-07-30T06:05:54Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugxz9tcqxAE5vg3QB0R4AaABAg,@crypticGatl,UCwO9FZLPR6g0d66IxVCOOYA,if you simply spring back before swing the robe you got it thats simple fysics,0,2026-07-29T22:24:44Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgwCET2K-xYX0gp6b454AaABAg,@unseenplusyt,UC5P6iezgDi3xhCDvmIaEhhQ,haha,0,2026-07-29T15:47:41Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugzqc1S6KvJS-9ySp5B4AaABAg,@ZJJest900,UCoyaDi22OW28IBPPHrpF38g,23:15 Kai was speed,0,2026-07-29T03:20:16Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugz3jZQhZ6PI20dplyR4AaABAg,@khamorlonbadger2914,UCW8KKJN4NBcJXo5qOCjRFvg,and you cant catch for shit,0,2026-07-28T07:42:50Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
UgzSI8M8pDmGr34MbMd4AaABAg,@anna-f8w4k,UClEEwzyKIfZeqNmUxse1h3Q,"""and you can't catch for shit"" Hearing Jimmy swear felt so wrong 😭😭😭",0,2026-07-27T16:31:29Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
Ugw4IK0owQIvYUGg-Dh4AaABAg,@krin5506,UCXMqDrvtsrQpXmnYNJukHCw,Ja,0,2026-07-25T08:06:31Z,,AMP EXTREME OBSTACLE COURSE WITH MRBEAST
