id,author,author_channel_id,comment,likes,published_at,parent_id,video_title
UgyyAS2QwB5xqvLGGnN4AaABAg,@MrBeast,UCX6OQ3DkcsbYNE6H8uQQuVA,"We want to make sure no kid has to fight cancer alone! If you want to help support the Stand Up to Cancer dream team and help end pediatric cancer, please click the link https://StandUpToCancer.org/MrBeast or in the description to donate. Every bit helps! ❤❤❤❤",30953,2026-07-25T15:58:48Z,,I Granted 100 Kids Their Biggest Wish!
UgwRU4zjdDYYxF4-8Ol4AaABAg,@techno2343,UCQPJIz546aNoaKfwvdPIMuw,why is lebron barely taller than mr beast,0,2026-08-09T07:52:05Z,,I Granted 100 Kids Their Biggest Wish!
Ugw0dy5eJ0_IPbfN87F4AaABAg,@PrimeLagent,UCDW4VRy6QqZSzLXi4pDOrzQ,Just i cary bro!!  Thanks for mr. Best love from Bangladesh  your big fan a littel subscriber  ✨🥺,1,2026-08-09T07:51:19Z,,I Granted 100 Kids Their Biggest Wish!
UgxkaxcH9z2_5d3Nzm54AaABAg,@sreeramprasanth764,UCEcf5sxjpmY0Q3QieuaAghQ,beast. what just happened . i know 200k ppl cried and smiled during this. dang,0,2026-08-09T07:43:14Z,,I Granted 100 Kids Their Biggest Wish!
UgwPJIeK8iivSmVzer54AaABAg,@mohad9650,UCQ7EAibPnh-Jo9qgCWnUwWg,"Hi mrbeast ,Im from iran and really need your help ,please just hear my story ,I got fired from my job for war and rwally need your help becuse my income was for my parents 😔",0,2026-08-09T07:42:27Z,,I Granted 100 Kids Their Biggest Wish!
Ugxz9ixZHRpvMMLUWZd4AaABAg,@AyodejiOguntola,UCgdw_XyhGf3Z2kADxqKuHEw,I love you Jimmy,0,2026-08-09T07:35:59Z,,I Granted 100 Kids Their Biggest Wish!
UgzygIWGqhtSDzE2Zv54AaABAg,@mmak7771,UCXskyZRzt0MvQ-pealXSpTA,respect,0,2026-08-09T07:35:51Z,,I Granted 100 Kids Their Biggest Wish!
Ugylr4kjgem_GDFAk154AaABAg,@ajaybhaevlog-eh8ij,UCSuE_4VZbH0ks_ybsMKL1bA,"🗣️Hi Mr. Beast. I'm 42 👍years old and live in Russia. In 2005, I broke my spine and was walking on crutches. Then in 2020, they found a tumor👍🏻👍🏻...See More",0,2026-08-09T07:34:38Z,,I Granted 100 Kids Their Biggest Wish!
Ugy0LMnoyWoNu4AcWJd4AaABAg,@SaberinSultanaDristy,UCrLREBXfY_79-wTIjX0bjbw,I humbly request you to check my massage,0,2026-08-09T07:30:47Z,,I Granted 100 Kids Their Biggest Wish!
UgxhYX-gE7C3xweCBjZ4AaABAg,@FlightSnowy,UC_QhkIqczVcmasp0mPPu36w,"If I could have 1 wish, I would wish to go to the moon",0,2026-08-09T07:27:54Z,,I Granted 100 Kids Their Biggest Wish!
Ugx4QBWRSwWUD8dA0JB4AaABAg,@MariapaulaBurgos,UCOri2tPjsoblrU5OCewiYdA,STRAY KISSSSSS,0,2026-08-09T07:26:30Z,,I Granted 100 Kids Their Biggest Wish!
UgwQHembSx3HZhgma-Z4AaABAg,@Singh_here79,UC5YqQ9KnxIxMW6_Jph8P7Gg,Beast pls read J.J s comment.please.,0,2026-08-09T07:24:04Z,,I Granted 100 Kids Their Biggest Wish!
Ugw2Y1GLxl4IREKFpWd4AaABAg,@Greshnik-v2.0,UCk_403dXlKiyf8yuOScDt8Q,"Hi, Mr. Beast from Russia. I wish you had more subscribers, just like your kind heart. I hope we also have people like you who help children ❤❤❤❤",0,2026-08-09T07:19:52Z,,I Granted 100 Kids Their Biggest Wish!
UgzCUSkRhymqAEFgV3J4AaABAg,@zerdi4412,UC663F4AH4uVhGBV4ghqMzHw,I live you can you pls come to cambodia,0,2026-08-09T07:18:38Z,,I Granted 100 Kids Their Biggest Wish!
Ugwa7bAWiVJgJ4IgKnV4AaABAg,@Americansoldie,UCeS5o7Lb76-HP2CQF56MS7A,Respect to our soldiers and the brave military dogs who stand beside them.,0,2026-08-09T07:16:34Z,,I Granted 100 Kids Their Biggest Wish!
UgwCLsFWYJeoasCQ7DV4AaABAg,@ylyillymeow,UCPV87bDjWpdJHgCRqYomG3A,"mr beast, this is so beautiful, it makes me cry just seeing these kids getting their wish and being happy,i’ve never seen so much joy from kids just from seeing or being what they wanted, you’re a good man , and i hope you always stay the same. ❤",0,2026-08-09T07:15:49Z,,I Granted 100 Kids Their Biggest Wish!
Ugw5GIdstZwhR3qNP7V4AaABAg,@RafiAnsari-r8m,UCGylJcH3aZwtC1aXMmd8-5Q,"""Sir, I also want to join your challenge please sir help me 🙏😢",0,2026-08-09T07:15:17Z,,I Granted 100 Kids Their Biggest Wish!
Ugw4dV3pZIRPn-yAsvB4AaABAg,@КоляУраков-о8з,UCRP0YKD4O2BYm4etdyOFMjQ,"Why am I Russian even though I wasn't ill, but I also want an unlimited card of Jimi WHY 😭",1,2026-08-09T07:01:20Z,,I Granted 100 Kids Their Biggest Wish!
